Gene	log2FoldChange	pvalue	padj_BH	padj_BO
ENSG00000137573.14_4	4.27121533101741	6.58035398327137e-102	1.0264694178505e-97	1.30475258780305e-97
ENSG00000198168.9_3	-2.47882537399883	3.24055249155761e-69	2.52746891579036e-65	6.42536748026043e-65
ENSG00000169981.11_4	-4.30787345421293	2.41106537948882e-55	1.25367362848821e-51	4.78066043445044e-51
ENSG00000064012.21_6	-3.96126014309622	1.26699551815023e-51	4.94096577190637e-48	2.51219871338828e-47
ENSG00000081479.14_4	-2.18136176571662	1.67657532577071e-43	5.23057970133946e-40	3.32431355593816e-39
ENSG00000116791.14_3	-2.1921159599096	3.74889329883654e-43	9.7464977614252e-40	7.43330563293309e-39
ENSG00000175567.9_6	-2.30394934864429	1.68240714546731e-35	3.74912415173495e-32	3.33587688803259e-31
ENSG00000115457.10_4	-2.27671154468235	1.95361113917371e-34	3.38604223999674e-31	3.87362016675362e-30
ENSG00000184515.11_3	-3.24846828363151	1.76624955062937e-34	3.38604223999674e-31	3.50211960898792e-30
ENSG00000044524.11_3	-2.84079498346436	2.65436876211488e-33	4.14054983202301e-30	5.26308238152139e-29
ENSG00000003400.14_4	-2.79283735991577	3.11041760369906e-32	4.41085492728197e-29	6.1673360246145e-28
ENSG00000115159.16_3	-1.63490195106444	2.78052862336529e-31	3.61445549965627e-28	5.5132321544087e-27
ENSG00000008394.13_4	-9.74028694704952	9.84596131503449e-31	1.18143961964018e-27	1.95225720954504e-26
ENSG00000103381.12_3	-2.39518680960992	1.74066115477336e-30	1.9394695252364e-27	3.45138293768461e-26
ENSG00000152939.16_5	-5.1861308915769	5.28163234765534e-30	5.49254553273838e-27	1.0472420618931e-25
ENSG00000185904.11_4	-4.2875663188457	1.38437616124411e-29	1.34968023370293e-26	2.74494105251483e-25
ENSG00000189221.9_2	-6.59920787168236	5.96788044686813e-27	5.476056887688e-24	1.18331133500501e-22
ENSG00000091010.6_5	6.07320874772045	8.71559554400939e-27	7.55303193838903e-24	1.72812828446618e-22
ENSG00000140575.13_4	-1.0271856980848	2.58905262350214e-26	2.12561220389526e-23	5.13357354188005e-22
ENSG00000106537.8_3	-1.31897977112753	2.41301463580115e-25	1.88203076519311e-22	4.78452541986652e-21
ENSG00000260032.2_4	-0.82860715999373	4.99330731220902e-23	3.7090762268166e-20	9.90072973864805e-19
ENSG00000106688.12_3	-2.39026332656	1.06166696554659e-22	7.52770136161877e-20	2.10507325928578e-18
ENSG00000101310.16_6	-1.22375369435525	1.23019788038326e-22	8.34341597221674e-20	2.43923635722393e-18
ENSG00000170558.9_4	1.35742257621819	1.48087799603019e-22	9.62508994169787e-20	2.93628489052865e-18
