Gene	Length	Counts	TotalReads	RPKM(27735584 pairs)	TPM(8.82 norm. reads)
RPS2	1169	75308	27735584	2322.67950589	7303.88218365
RPS18	660	26622	27735584	1454.3181653	4573.23901553
PTMA	1904	76094	27735584	1440.94085542	4531.17281782
RPL7A	899	35167	27735584	1410.38706045	4435.09356187
RPS4X	1533	57049	27735584	1341.74061582	4219.2284188
RPL39	404	13875	27735584	1238.26703652	3893.84610479
RP5-940J5.9	424	14454	27735584	1229.09337844	3864.99868194
RPSA	1193	40581	27735584	1226.43627177	3856.64316238
EEF2	3179	107172	27735584	1215.49588441	3822.24009467
RPS8	887	28762	27735584	1169.11746227	3676.39882369
HSPD1	2583	81874	27735584	1142.83698725	3593.75742062
RPL12	640	20243	27735584	1140.40099174	3586.09720569
RPS7	1170	36166	27735584	1114.49288795	3504.62675865
AC006483.1	85	2623	27735584	1112.60767141	3498.69851953
RPL6	1130	32337	27735584	1031.77254747	3244.50493835
RPL11	640	18174	27735584	1023.84269248	3219.56877025
NCL	4048	114306	27735584	1018.10180818	3201.51602452
EEF1G	1533	43260	27735584	1017.43587163	3199.42192496
RPL5	1051	28876	27735584	990.596986102	3115.024548
RPS3A	1120	30714	27735584	988.737582945	3109.17748147
RPS27A	1382	37604	27735584	981.044452153	3084.98571468
RPL8	1272	33939	27735584	961.998989226	3025.09548144
AC139149.1	85	2215	27735584	939.54479305	2954.4861688
RPL41	702	17849	27735584	916.725817849	2882.72977452
EEF1A1	5155	130920	27735584	915.672164352	2879.41646289
ENO1	1795	45252	27735584	908.941663358	2858.25177522
RPL3	1476	36746	27735584	897.607346456	2822.60995935
NPM1	2619	63412	27735584	872.968630082	2745.13121934
GNB2L1	1882	40051	27735584	767.284509071	2412.7976509
HSPA8	2709	57456	27735584	764.696439259	2404.65922416
GAPDH	2235	47158	27735584	760.747503509	2392.24142765
RPL13A	1189	25065	27735584	760.061158898	2390.08315305
RP11-290D2.6	590	12241	27735584	748.044736578	2352.29639312
HSP90AA1	4040	83557	27735584	745.700027177	2344.92323588
RPL24	1016	20734	27735584	735.786934032	2313.75059057
EEF1B2	1124	22534	27735584	722.827494984	2272.99842664
RPS11	845	16764	27735584	715.292429193	2249.30370998
RPL19	1132	21967	27735584	699.659939802	2200.14589011
LDHB	1594	30658	27735584	693.454846916	2180.63339721
RPS6	2530	48328	27735584	688.717291281	2165.73571197
HSP90AB1	2994	56379	27735584	678.935093728	2134.97468005
RPL10A	722	13460	27735584	672.156724004	2113.6594647
TUBA1B	1631	29896	27735584	660.878782369	2078.1949261
RPS12	637	11461	27735584	648.7027894	2039.90638139
RPL4	3280	58596	27735584	644.105209623	2025.44886328
RPS27	717	12785	27735584	642.901237743	2021.66286149
ACTG1	2372	42104	27735584	639.987302418	2012.49972028
EIF4A1	1767	31267	27735584	637.987763823	2006.21198481
RPL35	544	9121	27735584	604.513830235	1900.95008082
RPLP0	1822	30296	27735584	599.514380118	1885.22884396
RPL36A-HNRNPH2	700	11593	27735584	597.118437147	1877.69457799
H2AFZ	984	16219	27735584	594.280746972	1868.77119676
XXbac-BPG252P9.9	774	12650	27735584	589.267175721	1853.00555468
MIR3064	68	1108	27735584	587.480604232	1847.38751413
RPLP1	1201	19426	27735584	583.180591694	1833.86572393
