Gene	Length	Counts	TotalReads	RPKM(37346154 pairs)	TPM(12.10 norm. reads)
RPS2	1169	108096	37346154	2475.99195173	7639.88638712
AC006483.1	85	5649	37346154	1779.53594711	5490.91140955
RPS18	660	41593	37346154	1687.44810964	5206.76645689
RPL7A	899	49512	37346154	1474.70412221	4550.32656322
RPS4X	1533	77067	37346154	1346.10957947	4153.53702766
RPL8	1272	57005	37346154	1199.99643263	3702.69233056
RPL41	702	29582	37346154	1128.35182813	3481.62673372
RPL12	640	26204	37346154	1096.33109744	3382.8240117
AC139149.1	85	3449	37346154	1086.49663331	3352.47892575
RPS3A	1120	45125	37346154	1078.8307297	3328.82512001
RPL6	1130	44844	37346154	1062.62496942	3278.82085109
EEF1G	1533	58202	37346154	1016.5994491	3136.80514467
RP5-940J5.9	424	15828	37346154	999.572504286	3084.26704016
RPL24	1016	37571	37346154	990.177749191	3055.27871428
EEF2	3179	116521	37346154	981.449123519	3028.34578811
RPL36A-HNRNPH2	700	25008	37346154	956.610265296	2951.70335206
RPL3	1476	50169	37346154	910.12952494	2808.28302501
RPS8	887	29679	37346154	895.941720052	2764.50533124
EIF4A1	1767	58996	37346154	894.005382861	2758.53059609
GNB2L1	1882	61977	37346154	881.789752647	2720.83821712
RPS11	845	26026	37346154	824.71678342	2544.73465573
ACTB	1923	59094	37346154	822.845351207	2538.96019048
EEF1A1	5155	157101	37346154	816.026751182	2517.92081291
RPSA	1193	35973	37346154	807.402947115	2491.31132283
RPL11	640	19038	37346154	796.517761909	2457.7241465
HSP90AA1	4040	117918	37346154	781.542960552	2411.51810735
PTMA	1904	55074	37346154	774.522061042	2389.85451731
HSPA8	2709	77532	37346154	766.348123525	2364.6331292
RP11-138I1.4	463	13195	37346154	763.101873526	2354.61654528
NPM1	2619	74437	37346154	761.039992555	2348.25443399
YWHAE	2251	62941	37346154	748.707631605	2310.20187227
RPL35	544	15020	37346154	739.307563441	2281.19715247
RPL5	1051	28869	37346154	735.500785293	2269.45101067
RPS6	2530	68980	37346154	730.057026338	2252.65382362
TUBA1B	1631	43829	37346154	719.551225456	2220.2372703
ACTG1	2372	63506	37346154	716.892753771	2212.03432698
RPL13A	1189	31644	37346154	712.629239199	2198.87888561
LDHB	1594	41690	37346154	700.321878733	2160.90346505
RP11-290D2.6	590	15408	37346154	699.275599766	2157.67508119
RPS7	1170	30302	37346154	693.48895469	2139.8198895
RPS10-NUDT3	885	22847	37346154	691.25777206	2132.93538335
RPL19	1132	28707	37346154	679.040220207	2095.237075
RPS12	637	15561	37346154	654.112105588	2018.31923066
RPL10A	722	17561	37346154	651.277630394	2009.57321335
XXbac-BPG252P9.9	774	18608	37346154	643.743494156	1986.32598719
GAPDH	2235	53501	37346154	640.971158804	1977.77170772
RPL39	404	9650	37346154	639.587643051	1973.50275072
H2AFZ	984	23269	37346154	633.193922019	1953.77437388
HSP90AB1	2994	70068	37346154	626.64566775	1933.56917143
RPL26	1598	37143	37346154	622.378124575	1920.40129947
RPS10	987	22382	37346154	607.205721342	1873.58554272
RP11-386G11.10	1519	34251	37346154	603.767314213	1862.97604143
MIR3064	68	1532	37346154	603.259220875	1861.40827568
