Gene	Length	Counts	TotalReads	RPKM(25420418 pairs)	TPM(8.15 norm. reads)
AC006483.1	85	4467	25420418	2067.35157449	6449.87157701
RPS2	1169	48959	25420418	1647.53761929	5140.10591803
RPS18	660	22669	25420418	1351.15676292	4215.43568534
RPS4X	1533	50772	25420418	1302.86503459	4064.77169098
RPL7A	899	29190	25420418	1277.29648097	3985.00108528
RPL8	1272	37807	25420418	1169.23664578	3647.86826851
RP5-940J5.9	424	12310	25420418	1142.114141	3563.24953464
RPSA	1193	34505	25420418	1137.78158514	3549.73251643
RPL39	404	11346	25420418	1104.78743567	3446.79500472
RPS8	887	24291	25420418	1077.30601971	3361.05651404
AC139149.1	85	2212	25420418	1023.72547185	3193.89208156
RPL5	1051	25341	25420418	948.502205981	2959.20514661
NPM1	2619	62678	25420418	941.449315582	2937.20103378
RPL11	640	15257	25420418	937.791915932	2925.79041628
ACTB	1923	44862	25420418	917.733656737	2863.21122198
RPL6	1130	26335	25420418	916.794906146	2860.28244062
RPL12	640	14830	25420418	911.545789688	2843.90587097
RPL3	1476	34044	25420418	907.343091306	2830.79399142
RPS3A	1120	25771	25420418	905.170852366	2824.01688472
RPL41	702	15850	25420418	888.197337209	2771.06169591
HSP90AB1	2994	66270	25420418	870.727953296	2716.55946022
ENO1	1795	39208	25420418	859.265844328	2680.79915135
HSP90AA1	4040	86234	25420418	839.681294971	2619.69787094
PTMA	1904	40284	25420418	832.3058663	2596.68748009
TUBA1B	1631	34278	25420418	826.758799214	2579.38134272
RP11-138I1.4	463	9657	25420418	820.499938431	2559.85450038
EEF1A1	5155	106944	25420418	816.103173525	2546.13715818
RPL24	1016	20622	25420418	798.462247729	2491.09973383
EEF1G	1533	31040	25420418	796.520339434	2485.04122918
RPL36A-HNRNPH2	700	13577	25420418	762.997456836	2380.45413799
LDHB	1594	30784	25420418	759.720850418	2370.2315465
YBX1	1522	28749	25420418	743.062600003	2318.25994322
H2AFZ	984	18202	25420418	727.681483431	2270.27283362
GAPDH	2235	41291	25420418	726.766977551	2267.41969264
RPS11	845	15026	25420418	699.526204514	2182.431977
HNRNPA2B1	3723	65781	25420418	695.063923473	2168.51023287
RP11-386G11.10	1519	26783	25420418	693.615452483	2163.99118928
