Gene	Length	Counts	TotalReads	RPKM(26263627 pairs)	TPM(8.69 norm. reads)
RPS2	1169	72244	26263627	2353.05766845	7113.42468925
RPS18	660	26979	26263627	1556.42146179	4705.14896496
RPL7A	899	34328	26263627	1453.89856514	4395.21652513
RPL39	404	15385	26263627	1449.97806923	4383.36464712
AC006483.1	85	3176	26263627	1422.6788205	4300.83749425
RPS4X	1533	56690	26263627	1408.02251771	4256.53067274
RPS8	887	32390	26263627	1390.37716451	4203.18778497
RPL12	640	21107	26263627	1255.71717494	3796.10311922
RP5-940J5.9	424	13298	26263627	1194.16893741	3610.03936131
RPSA	1193	37413	26263627	1194.06340472	3609.72033009
RPL8	1272	39299	26263627	1176.35847675	3556.19734446
RPL5	1051	32093	26263627	1162.66044688	3514.78743549
NPM1	2619	78732	26263627	1144.61935018	3460.24819304
RPL11	640	19175	26263627	1140.7768432	3448.63207993
RPS3A	1120	33320	26263627	1132.74529828	3424.35227128
RPL3	1476	41876	26263627	1080.24964384	3265.65497739
AC139149.1	85	2367	26263627	1060.28991439	3205.31560104
EEF1A1	5155	141809	26263627	1047.4189406	3166.40592874
EEF2	3179	84237	26263627	1008.92216189	3050.02801765
PTMA	1904	50344	26263627	1006.76027993	3043.49252781
ENO1	1795	47312	26263627	1003.58035724	3033.879444
RPL6	1130	29676	26263627	999.9360295	3022.8624378
EEF1G	1533	39724	26263627	986.634088788	2982.64992845
RPL41	702	18040	26263627	978.463701834	2957.95039259
RPL13A	1189	28466	26263627	911.569715694	2755.72613818
RPL36A-HNRNPH2	700	16498	26263627	897.384486483	2712.8433984
EIF4A1	1767	41377	26263627	891.59525392	2695.34222518
HSP90AB1	2994	67840	26263627	862.738822578	2608.10762235
LDHB	1594	36029	26263627	860.615550999	2601.68885383
GNB2L1	1882	41931	26263627	848.322330118	2564.52576085
RPS12	637	13723	26263627	820.266413112	2479.71115754
RPS11	845	18084	26263627	814.860165047	2463.36776784
YBX1	1522	32464	26263627	812.14331791	2455.15458728
RPS6	2530	51436	26263627	774.090904604	2340.12001761
RPL24	1016	20233	26263627	758.249044534	2292.22919026
GAPDH	2235	44231	26263627	753.519557659	2277.93168742
H2AFZ	984	19295	26263627	746.612028773	2257.04984199
HSP90AA1	4040	78198	26263627	736.986578208	2227.9515676
TUBA1B	1631	30929	26263627	722.033280206	2182.74691298
RPL10A	722	13659	26263627	720.322541455	2177.57525424
RPL19	1132	21303	26263627	716.538678898	2166.1364265
HSPD1	2583	47857	26263627	705.450202712	2132.61534398
RP11-290D2.6	590	10816	26263627	698.007300737	2110.11503582
ACTG1	2372	43478	26263627	697.911206068	2109.82453627
RP11-138I1.4	463	8464	26263627	696.049237137	2104.19570025
RPL35	544	9915	26263627	693.967476053	2097.90242028
YWHAE	2251	40277	26263627	681.28200544	2059.55353446
RPS7	1170	20508	26263627	667.394687269	2017.57139638
RPL30	655	11280	26263627	655.711948917	1982.25382616
RPS27	717	12232	26263627	649.566493843	1963.67577241
HSPA8	2709	45331	26263627	637.135190402	1926.09524814
RPS13	652	10793	26263627	630.289220205	1905.39949806
HNRNPA2B1	3723	61628	26263627	630.275369708	1905.35762724
ACTB	1923	31614	26263627	625.958387145	1892.30714796
XXbac-BPG252P9.9	774	12603	26263627	619.980847902	1874.23671313
RPS25	840	13614	26263627	617.094617478	1865.51147744
RPLP0	1822	29248	26263627	611.213727348	1847.73321828
RP11-386G11.10	1519	24368	26263627	610.811788571	1846.51813492
RPL26	1598	25477	26263627	607.039302579	1835.11369917
RPS10-NUDT3	885	14083	26263627	605.894774179	1831.65372593
NCL	4048	63067	26263627	593.207956012	1793.30076638
MIR3064	68	1053	26263627	589.609885856	1782.42359944
RPL21	1086	16474	26263627	577.583176063	1746.06618435
RP11-1035H13.3	771	11465	26263627	566.19363022	1711.63495146
HMGN2	1201	17517	26263627	555.343919002	1678.83566877
RPL7	2365	34432	26263627	554.340236436	1675.80148034
RPS16	687	9951	26263627	551.512407529	1667.25279569
RPL9	1206	17452	26263627	550.989337502	1665.6715258
PRDX1	1258	18117	26263627	548.341279847	1657.66629968
RPL4	3280	46218	26263627	536.515906906	1621.91753714
RPLP1	1201	16722	26263627	530.139921993	1602.64257881
RPS10	987	13694	26263627	528.27306632	1596.9989699
C1QBP	1246	16669	26263627	509.374033937	1539.86613998
RPS27A	1382	18125	26263627	499.361746617	1509.59843649
RPL27	1122	14706	26263627	499.053381761	1508.66623231
HNRNPA1	4292	56062	26263627	497.340895409	1503.48929047
TUBB	3364	41622	26263627	471.099079777	1424.15881689
RPL36A	1256	15459	26263627	468.637519833	1416.71738377
RPS14	1830	22357	26263627	465.165755313	1406.22204581
RP11-603J24.9	495	5963	26263627	458.674829888	1386.5996159
RPL17	1151	13802	26263627	456.574863125	1380.25129915
RPL23A	2029	23961	26263627	449.643366017	1359.29699645
SENP3-EIF4A1	3541	41601	26263627	447.324970193	1352.28835645
RPL29	1598	18711	26263627	445.826133004	1347.75728795
ATP5B	1849	21565	26263627	444.076559346	1342.46822912
AC010761.8	901	10396	26263627	439.325870262	1328.10663081
RP11-11N7.5	501	5739	26263627	436.15795413	1318.5298435
PPIA	2541	28942	26263627	433.679778328	1311.03817971
LDHA	2977	33455	26263627	427.885429231	1293.52153892
EIF5A	2103	23356	26263627	422.867679012	1278.3525999
UQCRH	608	6488	26263627	406.305367936	1228.28380894
UBB	1620	17209	26263627	404.46963042	1222.73427195
NME1-NME2	1250	13154	26263627	400.675809171	1211.26533853
RP11-229E13.4	157	1631	26263627	395.548376919	1195.76482459
TMSB10	499	5168	26263627	394.336754282	1192.10202172
EEF1B2	1124	11297	26263627	382.685595701	1156.87991892
RPS24	2952	29267	26263627	377.491478727	1141.17781335
RP11-124N14.3	708	6962	26263627	374.408810075	1131.85873393
SOD1	971	9389	26263627	368.167465077	1112.99079958
HNRNPK	3063	29471	26263627	366.347450712	1107.48879455
CALR	1912	18347	26263627	365.361238837	1104.507421
PTGES3	2086	20013	26263627	365.294547152	1104.30580831
RPL18	1439	13786	26263627	364.773078458	1102.72937934
XIST	19281	184386	26263627	364.11928941	1100.75293855
OAZ1	1154	10913	26263627	360.067268838	1088.50345416
SRP9	1733	16291	26263627	357.927015459	1082.03334872
RPL17-C18orf32	1470	13633	26263627	353.117627655	1067.49430091
AC119673.1	1658	15298	26263627	351.313977011	1062.04176432
BTF3	1284	11795	26263627	349.766506799	1057.36367548
EIF3E	1556	14177	26263627	346.912576823	1048.73608585
RP11-186B7.4	4566	41490	26263627	345.981459053	1045.92126485
RPS15	1293	11743	26263627	345.800672989	1045.37473849
PARP1	4283	38495	26263627	342.216974729	1034.54101859
CCT3	2278	20305	26263627	339.386507131	1025.98435703
CSDE1	4334	38631	26263627	339.384763956	1025.97908732
CKB	1717	15241	26263627	337.978026773	1021.72644228
HNRNPAB	1894	16433	26263627	330.355984606	998.684583319
PKM	3327	28528	26263627	326.485443714	986.983722133
PABPC1	3500	30008	26263627	326.448220031	986.871192861
VIM	2146	17962	26263627	318.691347556	963.421734347
SCD	5368	44886	26263627	318.378473485	962.475898564
