Gene	Length	Counts	TotalReads	RPKM(30841902 pairs)	TPM(9.86 norm. reads)
AC006483.1	85	5276	30841902	2012.54086844	6296.4390237
RPS2	1169	70509	30841902	1955.63990851	6118.41857691
RPS18	660	28906	30841902	1420.04762537	4442.76358514
RPL7A	899	36575	30841902	1319.11752515	4126.9934899
RPL39	404	16136	30841902	1295.01073116	4051.57293036
RPS4X	1533	60132	30841902	1271.81030935	3978.98804847
RP5-940J5.9	424	15982	30841902	1222.14888778	3823.61723456
RPSA	1193	40829	30841902	1109.65288497	3471.66203542
RPL8	1272	42409	30841902	1081.0101402	3382.05029201
RPS8	887	28501	30841902	1041.82632118	3259.4597245
RPL12	640	19986	30841902	1012.52267127	3167.78027206
HSP90AA1	4040	124761	30841902	1001.281816	3132.61211183
AC139149.1	85	2557	30841902	975.37282043	3051.55318112
RPL6	1130	33739	30841902	968.083035991	3028.74634826
RPL5	1051	30362	30841902	936.669776399	2930.46676713
EEF1G	1533	42723	30841902	903.604600654	2827.01899812
ACTB	1923	53095	30841902	895.227033021	2800.80892477
PTMA	1904	52448	30841902	893.142663101	2794.28776125
EEF2	3179	86466	30841902	881.888517118	2759.07801964
RPS3A	1120	29940	30841902	866.747545503	2711.70794829
RPL41	702	18300	30841902	845.225954884	2644.37546071
RPL3	1476	37701	30841902	828.181184378	2591.04916069
NPM1	2619	66492	30841902	823.176085288	2575.39019857
HSPA8	2709	66951	30841902	801.321712075	2507.01656676
EEF1A1	5155	126392	30841902	794.968212945	2487.13899782
RP11-138I1.4	463	11322	30841902	792.868212697	2480.56893322
RPL24	1016	24505	30841902	782.023575854	2446.64038266
RPL36A-HNRNPH2	700	16757	30841902	776.170400534	2428.3281277
GNB2L1	1882	44709	30841902	770.254393543	2409.81929746
GAPDH	2235	52607	30841902	763.176266051	2387.67465491
HSP90AB1	2994	69303	30841902	750.51449775	2348.06102355
RPS11	845	19351	30841902	742.515546414	2323.03548985
TUBA1B	1631	36702	30841902	729.616449839	2282.67935283
LDHB	1594	35453	30841902	721.146534357	2256.18035984
RPL11	640	13867	30841902	702.524361176	2197.91899493
YBX1	1522	32801	30841902	698.765217444	2186.15813101
HNRNPA2B1	3723	78900	30841902	687.136176741	2149.7754931
EIF4A1	1767	36853	30841902	676.231107182	2115.65787263
H2AFZ	984	20507	30841902	675.718610171	2114.05447355
XXbac-BPG252P9.9	774	16049	30841902	672.304260576	2103.37233319
RPL13A	1189	24152	30841902	658.612687255	2060.53685198
RPL35	544	10777	30841902	642.329444037	2009.59306762
RPL19	1132	22259	30841902	637.555607363	1994.65763351
ACTG1	2372	46541	30841902	636.179796595	1990.35326944
RPS10-NUDT3	885	16955	30841902	621.174144526	1943.40655907
RPL10A	722	13826	30841902	620.895056587	1942.53340403
RP11-386G11.10	1519	28697	30841902	612.544396031	1916.40751222
RPS6	2530	47092	30841902	603.511376671	1888.14679141
ENO1	1795	33085	30841902	597.620564213	1869.71678483
RPS7	1170	21208	30841902	587.723018071	1838.75130396
MIR3064	68	1232	30841902	587.436113986	1837.85369532
HSPD1	2583	45404	30841902	569.939236102	1783.11293133
RPLP0	1822	31450	30841902	559.668835344	1750.98093682
RPS13	652	11040	30841902	549.010088205	1717.63396113
NCL	4048	68507	30841902	548.72316266	1716.73628535
RPS10	987	16591	30841902	545.022282009	1705.1577034
YWHAE	2251	37466	30841902	539.660561529	1688.38301495
RPS27	717	11539	30841902	521.804553732	1632.51867646
